name	Mock_1	Mock_2	Mock_4	Mock_5	PDCoV_1	PDCoV_3	PDCoV_4	PDCoV_5	PDCoV_6	PDCoV_2	Mock_3	Mock_6	QC01	QC02	QC03
pos_5420	74.09686677	170.495221	382.8386661	1179.244552	767.3063329	4884.777108	13558.01531	3770.733083	220.1572096	5913.159879	74.38924713	45.91247194	952.7347656	941.4234233	972.5405363
pos_1941	153.4712078	118.2556214	1230.227205	2001.375086	1649.350194	6003.769704	1020.843192	28644.71495	1239.85323	1550.288192	299.4574585	124.0927405	1333.744765	1388.364618	1387.857523
neg_4827	490.1652953	74.64815396	399.3350664	354.0048338	284.4250694	1313.878972	568.315819	103.0142055	2237.445629	1486.397217	120.7919181	392.7934619	251.5814009	258.0887687	249.1918388
neg_4682	3447.42772	2545.521035	2240.823626	1986.458146	3412.663722	3553.050734	275.9977882	2818.70187	2301.719163	240.3220955	185.4722802	2263.744403	1977.943057	1905.08087	1905.516936
neg_695	8432.138629	8646.834696	18738.09065	11925.73408	7062.673034	2668.346864	3615.448134	2872.912407	965.888022	632.1751472	10610.9119	12782.71335	23464.14817	24817.82795	24819.45584
neg_3038	1332.248063	14.77782764	453.2364131	1753.488032	444.8427164	1354.411655	336.8725013	111618.3967	714.8773296	326.5789418	0.359440861	205.1445018	369.2049705	366.0869415	335.5504159
pos_1574	10659.72969	10159.30503	16237.28532	48198.57087	6628.313336	1850.55947	679.5935625	3931.201798	5077.460891	670.6484378	28590.46703	12322.00729	7005.92461	6975.422162	7035.871286
pos_5323	1312.859216	1202.699213	1103.839592	10133.68311	72.97982944	27.05039365	435.861943	58.74670065	359.0974651	1256.473494	1958.189161	3398.991376	1537.751646	1539.884789	1536.99763
pos_3622	4.185860629	1.50221217	107.2401479	153.2675284	194.713862	1696.129397	824.3802987	3254.446096	801.5317978	2346.373039	9.347226458	21.24880073	299.0689606	312.0567981	311.9978702
pos_3592	0.599017668	0.133439793	196.8750158	60.44388549	20.97631218	1622.543619	89.61313292	10372.50184	113.1251138	109.634935	3.232240614	0.038368335	333.9100579	334.7349837	262.3476855
pos_2651	6117.687779	6657.001557	75420.09092	90969.70332	18102.86332	16756.92581	8027.834115	25936.62985	29280.77065	18732.16526	13481.37497	10256.35627	13103.72884	13442.30212	13575.98646
neg_1920	36.2226102	51.76228743	3.193482679	27.67081703	341.6542236	951.9455506	91.00430918	297.0707331	183.142843	310.6333029	86.52943844	27.85978506	82.10205826	86.54057995	86.51547791
pos_6652	2781.525279	2597.69511	534.7035384	197.7737781	8595.496662	5034.678969	1603.684768	11239.96396	4920.410401	8324.376949	862.828785	2202.05333	3836.102592	3860.807325	3852.363827
neg_2884	39183.54996	50890.65346	36180.69775	57567.15635	74770.36789	54763.28982	21121.88231	19012.20625	53174.39805	41786.36321	20577.76779	40892.13076	71009.26006	70570.77174	72377.87529
neg_4218	445.328341	444.2458389	391.7466984	321.6229033	390.4353181	1562.326064	1856.968334	34036.53561	1084.281734	390.2355671	250.1151536	19.35817246	711.1829971	860.3898943	708.5341821
pos_6025	15284.82061	15570.05391	5901.316783	2075.403733	7860.179511	1090.325175	2875.722047	1744.080943	7574.034141	950.1329818	17302.85351	19927.51291	6668.849692	6750.082594	6792.470376
neg_2122	1856.76136	1916.246152	5365.69215	1151.709008	41012.05382	38619.60777	16085.11165	257.5876579	38506.85533	34253.38144	342.6769182	874.2899706	14610.10096	14606.94186	14616.88852
pos_92	52496.01571	50810.40304	4112.648853	408.1260862	26028.98472	6822.935814	10745.20212	15222.90235	15291.54106	11459.36951	30111.85239	44409.37551	18377.95697	18447.2935	18723.25881
