pathway	ID
map00053:Ascorbate and aldarate metabolism	C15925
map00053:Ascorbate and aldarate metabolism	C15926
map00053:Ascorbate and aldarate metabolism	C15930
map00053:Ascorbate and aldarate metabolism	C16186
map00053:Ascorbate and aldarate metabolism	C20889
map00053:Ascorbate and aldarate metabolism	C20896
map00053:Ascorbate and aldarate metabolism	C21955
map00061:Fatty acid biosynthesis	C00024
map00061:Fatty acid biosynthesis	C00083
map00061:Fatty acid biosynthesis	C00154
map00061:Fatty acid biosynthesis	C00173
map00061:Fatty acid biosynthesis	C00229
map00061:Fatty acid biosynthesis	C00249
map00061:Fatty acid biosynthesis	C00383
map00061:Fatty acid biosynthesis	C00638
map00061:Fatty acid biosynthesis	C00685
map00061:Fatty acid biosynthesis	C00693
map00061:Fatty acid biosynthesis	C00712
map00061:Fatty acid biosynthesis	C01203
map00061:Fatty acid biosynthesis	C01209
map00061:Fatty acid biosynthesis	C01271
map00061:Fatty acid biosynthesis	C01530
map00061:Fatty acid biosynthesis	C01571
map00061:Fatty acid biosynthesis	C02679
map00061:Fatty acid biosynthesis	C02843
map00061:Fatty acid biosynthesis	C03939
map00061:Fatty acid biosynthesis	C04088
map00061:Fatty acid biosynthesis	C04180
map00061:Fatty acid biosynthesis	C04246
map00061:Fatty acid biosynthesis	C04618
map00061:Fatty acid biosynthesis	C04619
map00061:Fatty acid biosynthesis	C04620
map00061:Fatty acid biosynthesis	C04633
map00061:Fatty acid biosynthesis	C04688
map00061:Fatty acid biosynthesis	C05223
map00061:Fatty acid biosynthesis	C05744
map00061:Fatty acid biosynthesis	C05745
map00061:Fatty acid biosynthesis	C05746
map00061:Fatty acid biosynthesis	C05747
map00061:Fatty acid biosynthesis	C05748
map00061:Fatty acid biosynthesis	C05749
map00061:Fatty acid biosynthesis	C05750
map00061:Fatty acid biosynthesis	C05751
map00061:Fatty acid biosynthesis	C05752
map00061:Fatty acid biosynthesis	C05753
map00061:Fatty acid biosynthesis	C05754
map00061:Fatty acid biosynthesis	C05755
map00061:Fatty acid biosynthesis	C05756
map00061:Fatty acid biosynthesis	C05757
map00061:Fatty acid biosynthesis	C05758
map00061:Fatty acid biosynthesis	C05759
map00061:Fatty acid biosynthesis	C05760
map00061:Fatty acid biosynthesis	C05761
